smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
BRD-K35483542	BRD-K35483542-001-05-6	LSM-42856	LSM-2135
BRD-K95253417	BRD-K95253417-001-01-1	LSM-42865	LSM-2159
BRD-K91485395	BRD-K91485395-001-01-9	LSM-42908	LSM-2467
BRD-K80738081	BRD-K80738081-001-21-1	LSM-42917	LSM-2557
BRD-K80738081	BRD-K80738081-001-33-6	LSM-42917	LSM-2557
BRD-K80738081	BRD-K80738081-001-23-7	LSM-42917	LSM-2557
BRD-K80738081	BRD-K80738081-001-32-8	LSM-42917	LSM-2557
BRD-K89085489	BRD-K89085489-001-11-7	LSM-42925	LSM-2616
BRD-K89085489	BRD-K89085489-001-10-9	LSM-42925	LSM-2616
BRD-K89085489	BRD-K89085489-001-14-1	LSM-42925	LSM-2616
BRD-K76425827	BRD-K76425827-001-01-2	LSM-42926	LSM-2620
BRD-K66956375	BRD-K66956375-001-09-7	LSM-42935	LSM-2694
BRD-K66956375	BRD-K66956375-001-05-5	LSM-42935	LSM-2694
BRD-K74402642	BRD-K74402642-003-01-2	LSM-42949	LSM-2827
BRD-K25375605	BRD-K25375605-001-01-9	LSM-42956	LSM-2909
BRD-K33586157	BRD-K33586157-001-01-3	LSM-43004	LSM-3480
BRD-K49685476	BRD-K49685476-001-09-2	LSM-43006	LSM-3525
BRD-K49685476	BRD-K49685476-001-11-8	LSM-43006	LSM-3525
BRD-K44094599	BRD-K44094599-001-02-9	LSM-43010	LSM-3557
BRD-K04993501	BRD-K04993501-002-01-7	LSM-43012	LSM-3590
BRD-K31534764	BRD-K31534764-050-01-7	LSM-43014	LSM-3625
BRD-K87432599	BRD-K87432599-001-01-1	LSM-43016	LSM-3629
BRD-K35573744	BRD-K35573744-001-05-0	LSM-43038	LSM-3976
BRD-K02130563	BRD-K02130563-001-06-4	LSM-43059	LSM-4284
BRD-K02130563	BRD-K02130563-001-05-6	LSM-43059	LSM-4284
BRD-A62025033	BRD-A62025033-001-01-8	LSM-43061	LSM-4295
BRD-A03898562	BRD-A03898562-001-02-7	LSM-43062	LSM-4307
BRD-A06935312	BRD-A06935312-001-02-7	LSM-43063	LSM-4315
BRD-A09186529	BRD-A09186529-001-01-5	LSM-43064	LSM-4325
BRD-A13946108	BRD-A13946108-001-13-0	LSM-43065	LSM-4338
BRD-A13946108	BRD-A13946108-001-03-1	LSM-43065	LSM-4338
BRD-A13946108	BRD-A13946108-001-12-2	LSM-43065	LSM-4338
BRD-A15914070	BRD-A15914070-001-01-5	LSM-43066	LSM-4344
