smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID	expunge
BRD-K37940862	BRD-K37940862-004-03-4	LSM-42951	LSM-2841	1
BRD-K38449220	BRD-K38449220-001-03-8	LSM-42953	LSM-2853	1
BRD-K39965020	BRD-K39965020-001-02-6	LSM-42954	LSM-2882	1
BRD-K40758391	BRD-K40758391-001-06-4	LSM-42955	LSM-2904	1
BRD-K41707108	BRD-K41707108-001-03-1	LSM-42957	LSM-2927	1
BRD-K42142750	BRD-K42142750-001-04-9	LSM-42958	LSM-2938	1
BRD-K93754473	BRD-K93754473-048-10-3	LSM-42959	LSM-2966	0
BRD-K45330754	BRD-K45330754-001-09-2	LSM-42960	LSM-3001	0
BRD-K46555875	BRD-K46555875-001-04-8	LSM-42961	LSM-3028	1
BRD-K73589491	BRD-K73589491-001-05-4	LSM-42962	LSM-3031	0
BRD-K46652470	BRD-K46652470-001-02-6	LSM-42963	LSM-3031	0
BRD-K47192521	BRD-K47192521-001-02-1	LSM-42964	LSM-3041	1
BRD-K47207162	BRD-K47207162-312-02-2	LSM-42965	LSM-3042	0
BRD-K85318537	BRD-K85318537-001-02-7	LSM-42966	LSM-3058	0
BRD-K48427617	BRD-K48427617-001-01-7	LSM-42967	LSM-3065	1
BRD-K49403449	BRD-K49403449-001-05-2	LSM-42969	LSM-3084	1
BRD-K49749421	BRD-K49749421-001-06-8	LSM-42970	LSM-3094	1
BRD-K60184833	BRD-K60184833-001-03-1	LSM-42972	LSM-3130	0
BRD-K51350053	BRD-K51350053-048-06-6	LSM-42973	LSM-3135	0
BRD-K51476772	BRD-K51476772-001-01-9	LSM-42975	LSM-3139	1
BRD-K51557114	BRD-K51557114-001-02-1	LSM-42976	LSM-3141	1
BRD-K51816706	BRD-K51816706-001-01-7	LSM-42977	LSM-3149	1
BRD-K52321331	BRD-K52321331-019-01-2	LSM-42978	LSM-3156	1
BRD-K52459643	BRD-K52459643-001-10-2	LSM-42979	LSM-3161	0
BRD-K52930707	BRD-K52930707-001-04-8	LSM-42980	LSM-3170	1
BRD-K53263234	BRD-K53263234-001-02-9	LSM-42981	LSM-3177	1
