SM_LINCS_ID	SM_PubChemCID	SM_PubChem_SID
LSM-2359	3016	85788516
LSM-2361	6603798	85788372
LSM-2366	4879	85787176
LSM-2367	126388	85788603
LSM-2368	5756	85788080
LSM-2375	2780	85788857
LSM-2376	3038495	85788982
LSM-2378	2483	85787432
LSM-2380	71414	85787968
LSM-2381	134230	85788598
LSM-2382	5311340	85787664
LSM-2386	4273754	85788648
LSM-2388	5527	177748594
LSM-2390	5380743	85789467
LSM-2391	84008	85789032
LSM-2394	5311276	85788190
LSM-2395	3453	85787690
LSM-2397	6843	85788912
LSM-2398	40469923	85787649
LSM-2401	4369270	85788039
LSM-2402	8982	85787326
LSM-2404	2756	85789006
LSM-2405	15478	85787369
LSM-2406	3938007	177748590
LSM-2410	3540	85787245
LSM-2411	6610266	85788966
LSM-2413	2377	85788112
LSM-2414	10479060	85789098
LSM-2416	132059	85787568
LSM-2419	20864	177748579
LSM-2420	2689	85787308
LSM-2430	5326739	85788163
LSM-2433	128563	177748824
LSM-2435	195165	85787508
LSM-2437	73453	85787463
LSM-2441	11683	85787372
LSM-2442	4646	85788594
LSM-2442	4646	85787612
LSM-2443	107992	85787458
LSM-2444	176407	85788128
LSM-2452	54841	85788174
LSM-2453	3011	85787438
LSM-2454	3135	85787124
LSM-2454	3135	177748525
LSM-2457	5280805	85842433
LSM-2458	50918585	177749115
LSM-2462	753704	85789064
LSM-2465	183470	85787304
LSM-2468	16759163	177748550
LSM-2472	4755	85788024
LSM-2476	34633	85788904
LSM-2480	2127	85789014
LSM-2486	5061	85789456
LSM-2487	4630	85787108
LSM-2489	3803	177748582
LSM-2497	3971	177748559
LSM-2509	447912	85788194
LSM-2511	2724385	85788562
LSM-2515	2378095	85787621
LSM-2520	2229	85788597
LSM-2530	3538	85789031
LSM-2535	93504	85787605
LSM-2537	6746041	114279609
LSM-2557	5056	126722794
LSM-2557	5056	85788655
LSM-2560	6760	85788976
LSM-2564	10204	85845512
LSM-2565	124172	85787552
LSM-2566	6708769	85789141
LSM-2567	3035842	85788626
LSM-2568	1456	85787574
LSM-2569	442793	85788022
LSM-2572	127951	177748586
LSM-2579	2807869	85788963
LSM-2580	9821459	85788709
LSM-2581	9691	85789494
LSM-2582	54562	85788346
LSM-2583	53429689	85788694
LSM-2584	24906272	177748478
