SM_LINCS_ID	SM_CENTER_COMPOUND_ID	IDsort
LSM-1227	BRD-K31283835	1227
LSM-1227	HMSL10226	1227
LSM-1228	HMSL10227	1228
LSM-1228	BRD-K42452249	1228
LSM-1230	HMSL10229	1230
LSM-1231	BRD-K23192422	1231
LSM-1231	HMSL10230	1231
LSM-1232	BRD-A00100033	1232
LSM-1233	BRD-A00267231	1233
LSM-1234	BRD-A00474148	1234
LSM-1235	BRD-A00546892	1235
LSM-1236	BRD-A00626522	1236
LSM-1237	BRD-A00758722	1237
LSM-1238	BRD-A00993607	1238
LSM-1239	BRD-A01295252	1239
LSM-1239	BRD-A59391763	1239
LSM-1240	BRD-A01320529	1240
LSM-1241	BRD-A01346607	1241
LSM-1242	BRD-A01593789	1242
LSM-1243	BRD-A01643550	1243
LSM-1244	BRD-A01973626	1244
LSM-1245	BRD-A01999384	1245
LSM-1246	BRD-A02006392	1246
LSM-1247	BRD-A02176148	1247
LSM-1248	BRD-A02180903	1248
LSM-1249	BRD-A02189320	1249
LSM-1250	BRD-A02241946	1250
LSM-1251	BRD-A02367930	1251
LSM-1252	BRD-A02710418	1252
LSM-1253	BRD-A02713983	1253
LSM-1254	BRD-A02747686	1254
LSM-1255	BRD-A02759312	1255
LSM-1256	BRD-A02809788	1256
LSM-1257	BRD-A03359064	1257
LSM-1258	BRD-A03436432	1258
LSM-1259	BRD-A03623303	1259
LSM-1260	BRD-A03816571	1260
LSM-1261	BRD-A04026261	1261
LSM-1262	BRD-A04392722	1262
LSM-1263	BRD-A04553218	1263
LSM-1264	BRD-A04668240	1264
LSM-1265	BRD-A04706586	1265
LSM-1266	BRD-A04756508	1266
LSM-1267	BRD-A05186015	1267
LSM-1268	BRD-A05352148	1268
LSM-1269	BRD-A05565054	1269
LSM-1270	BRD-A05680309	1270
LSM-1271	BRD-A05831822	1271
LSM-1272	BRD-A06276885	1272
LSM-1273	CGC00000760	1273
LSM-1273	BRD-A06352418	1273
LSM-1274	BRD-A06352508	1274
LSM-1275	BRD-A06390036	1275
LSM-1276	BRD-A06641369	1276
LSM-1277	BRD-A06664848	1277
LSM-1278	BRD-A06726973	1278
LSM-1279	BRD-A06784547	1279
LSM-1280	BRD-A07000685	1280
LSM-1281	BRD-A07029265	1281
LSM-1282	BRD-A07440155	1282
LSM-1283	BRD-A07824748	1283
LSM-1284	BRD-A07875874	1284
LSM-1285	BRD-A08003242	1285
LSM-1286	BRD-A08187463	1286
LSM-1287	BRD-A08610364	1287
LSM-1288	BRD-A08662020	1288
LSM-1289	BRD-A08709697	1289
LSM-1290	BRD-A08877921	1290
LSM-1291	BRD-A09056319	1291
LSM-1292	BRD-A09062839	1292
LSM-1293	BRD-A09094913	1293
LSM-1294	BRD-A09161221	1294
LSM-1295	BRD-A09349126	1295
LSM-1296	BRD-A09467419	1296
LSM-1297	BRD-A09472452	1297
LSM-1298	BRD-A09533288	1298
LSM-1299	BRD-A09539288	1299
LSM-1300	BRD-A09719808	1300
LSM-1301	BRD-A09828896	1301
LSM-1302	BRD-A09925278	1302
LSM-1303	BRD-A10188456	1303
LSM-1304	BRD-A10303790	1304
LSM-1305	BRD-A10355991	1305
LSM-1306	BRD-A10420615	1306
LSM-1307	BRD-A10715913	1307
LSM-1308	BRD-A10903566	1308
LSM-1309	BRD-A10969569	1309
LSM-1310	BRD-A10977446	1310
LSM-1311	BRD-A11087911	1311
LSM-1312	BRD-A11095214	1312
LSM-1313	BRD-A11135865	1313
LSM-1314	BRD-A11483079	1314
LSM-1315	BRD-A11512624	1315
LSM-1316	BRD-A11605036	1316
LSM-1317	BRD-A11609859	1317
LSM-1318	BRD-A11678676	1318
LSM-1319	BRD-A11813248	1319
LSM-1320	BRD-A11929187	1320
LSM-1321	BRD-A11968133	1321
LSM-1322	BRD-A12016240	1322
LSM-1323	BRD-A12083771	1323
LSM-1324	BRD-A12633378	1324
LSM-1325	BRD-A13133631	1325
LSM-1326	BRD-A13346522	1326
LSM-1327	BRD-A13650332	1327
LSM-1328	BRD-A13964793	1328
LSM-1329	BRD-A14395271	1329
LSM-1330	BRD-A14566392	1330
LSM-1331	BRD-A14574269	1331
LSM-1332	BRD-A14798026	1332
LSM-1333	BRD-A14966924	1333
LSM-1334	BRD-A15034104	1334
LSM-1335	BRD-A15070535	1335
LSM-1336	BRD-A15131297	1336
LSM-1337	BRD-A15297126	1337
LSM-1338	BRD-A15415227	1338
LSM-1339	BRD-A15435692	1339
LSM-1340	BRD-A15530910	1340
LSM-1341	BRD-A15931911	1341
LSM-1342	BRD-A16311756	1342
LSM-1343	BRD-A16332958	1343
LSM-1344	BRD-A16665823	1344
LSM-1345	BRD-A16694057	1345
LSM-1346	BRD-A16700644	1346
LSM-1347	BRD-A16820783	1347
LSM-1348	BRD-A17016119	1348
LSM-1349	BRD-A17065207	1349
LSM-1349	BRD-A31107743	1349
LSM-1350	BRD-A17411484	1350
LSM-1351	BRD-A17428743	1351
LSM-1352	BRD-A17453586	1352
LSM-1353	BRD-A17535965	1353
LSM-1354	BRD-A17655518	1354
LSM-1355	BRD-A17664363	1355
LSM-1356	BRD-A17718497	1356
LSM-1357	BRD-A17757596	1357
LSM-1358	BRD-A17819071	1358
LSM-1359	BRD-A18043272	1359
LSM-1360	BRD-A18202423	1360
LSM-1361	BRD-A18279961	1361
LSM-1362	BRD-A18411371	1362
LSM-1363	BRD-A18419789	1363
LSM-1364	BRD-A18579359	1364
LSM-1365	BRD-A18620900	1365
LSM-1366	BRD-A18725729	1366
LSM-1367	BRD-A18917088	1367
LSM-1368	BRD-A18932057	1368
LSM-1369	BRD-A19037878	1369
LSM-1370	BRD-A19053259	1370
LSM-1371	BRD-A19195498	1371
LSM-1372	BRD-A19374631	1372
LSM-1373	BRD-A19500257	1373
LSM-1374	BRD-A19661776	1374
LSM-1375	BRD-A19736161	1375
LSM-1375	CGC00002296	1375
LSM-1376	BRD-A19918940	1376
LSM-1377	BRD-A19928752	1377
LSM-1378	BRD-A20126139	1378
LSM-1379	BRD-A20243730	1379
LSM-1380	BRD-A20527803	1380
LSM-1381	BRD-A20846977	1381
LSM-1382	BRD-A20968261	1382
LSM-1383	BRD-A21406558	1383
LSM-1384	BRD-A21481508	1384
LSM-1385	BRD-A21723284	1385
LSM-1386	BRD-A21812217	1386
LSM-1387	BRD-A21858158	1387
LSM-1388	BRD-A22032524	1388
LSM-1389	BRD-A22143024	1389
LSM-1390	BRD-A22380646	1390
LSM-1391	BRD-A22684332	1391
LSM-1392	BRD-A22707317	1392
LSM-1393	BRD-A22713669	1393
LSM-1394	BRD-A22769835	1394
LSM-1395	BRD-A22783572	1395
LSM-1396	BRD-A22844106	1396
LSM-1397	BRD-A23072235	1397
LSM-1398	BRD-A23226398	1398
LSM-1399	BRD-A23683907	1399
LSM-1400	BRD-A23723433	1400
LSM-1401	BRD-A24021119	1401
LSM-1402	BRD-A24122750	1402
LSM-1403	BRD-A24225650	1403
LSM-1404	BRD-A24429032	1404
LSM-1405	BRD-A24514565	1405
LSM-1406	BRD-A24817035	1406
LSM-1407	BRD-A25143711	1407
LSM-1408	BRD-A25170757	1408
LSM-1409	BRD-A25234499	1409
LSM-1410	BRD-A25687296	1410
LSM-1411	BRD-A25775766	1411
LSM-1412	BRD-A25829966	1412
LSM-1413	BRD-A26032986	1413
LSM-1414	BRD-A26095496	1414
LSM-1415	BRD-A26097136	1415
LSM-1416	BRD-A26334849	1416
LSM-1417	BRD-A26384407	1417
LSM-1418	BRD-A26711594	1418
LSM-1418	CGC00003468	1418
LSM-1419	BRD-A26777759	1419
LSM-1420	BRD-A26787626	1420
LSM-1421	BRD-A26845397	1421
LSM-1422	BRD-A26962727	1422
LSM-1423	BRD-A27143604	1423
LSM-1424	BRD-A27554692	1424
LSM-1425	BRD-A27887842	1425
LSM-1426	BRD-A28318179	1426
LSM-1427	BRD-A28412351	1427
LSM-1428	BRD-A28422058	1428
LSM-1429	BRD-A28422330	1429
LSM-1430	BRD-A28856712	1430
LSM-1431	BRD-A28970875	1431
LSM-1432	BRD-A29082194	1432
LSM-1433	BRD-A29289453	1433
LSM-1434	BRD-A29322418	1434
LSM-1435	BRD-A29426959	1435
LSM-1436	BRD-A29437505	1436
LSM-1437	BRD-A29485665	1437
LSM-1438	BRD-A29721261	1438
LSM-1439	CGC00000392	1439
LSM-1439	BRD-A29734509	1439
LSM-1440	BRD-A30205217	1440
LSM-1441	BRD-A30435184	1441
LSM-1442	BRD-A30437061	1442
LSM-1443	BRD-A30590053	1443
LSM-1444	BRD-A30612536	1444
LSM-1445	BRD-A30655177	1445
LSM-1446	BRD-A30717181	1446
LSM-1447	BRD-A30815329	1447
LSM-1448	BRD-A31007383	1448
LSM-1449	CGC00000787	1449
LSM-1449	BRD-A31159102	1449
LSM-1450	BRD-A31195449	1450
LSM-1451	BRD-A31204924	1451
LSM-1452	BRD-A31227688	1452
LSM-1453	BRD-A31521121	1453
LSM-1454	BRD-A31575449	1454
